filename,test_number,expected_vul,expected_cwe,semgrep_found_vul,semgrep_cwes,classification
cleaned_BenchmarkTest00001.sarif,00001,True,22,True,"22, 1004",TP
cleaned_BenchmarkTest00002.sarif,00002,True,22,True,"22, 1004",TP
cleaned_BenchmarkTest00003.sarif,00003,True,328,True,1004,FN_WrongCWE
cleaned_BenchmarkTest00004.sarif,00004,True,501,True,"501, 1004",TP
cleaned_BenchmarkTest00005.sarif,00005,True,327,True,"326, 327",TP
cleaned_BenchmarkTest00006.sarif,00006,True,78,True,78,TP
cleaned_BenchmarkTest00007.sarif,00007,True,78,True,78,TP
cleaned_BenchmarkTest00008.sarif,00008,True,89,True,89,TP
cleaned_BenchmarkTest00009.sarif,00009,False,328,False,,TN
cleaned_BenchmarkTest00010.sarif,00010,False,330,True,501,FP
cleaned_BenchmarkTest00011.sarif,00011,True,22,True,22,TP
cleaned_BenchmarkTest00012.sarif,00012,True,90,True,79,FN_WrongCWE
cleaned_BenchmarkTest00013.sarif,00013,True,79,True,79,TP
cleaned_BenchmarkTest00014.sarif,00014,True,79,True,79,TP
cleaned_BenchmarkTest00015.sarif,00015,True,78,True,78,TP
cleaned_BenchmarkTest00016.sarif,00016,False,614,False,,TN
cleaned_BenchmarkTest00017.sarif,00017,True,78,True,78,TP
cleaned_BenchmarkTest00018.sarif,00018,True,89,True,89,TP
cleaned_BenchmarkTest00019.sarif,00019,True,327,True,"326, 327",TP
cleaned_BenchmarkTest00020.sarif,00020,True,327,True,"20, 326, 327",TP
cleaned_BenchmarkTest00021.sarif,00021,True,90,True,"20, 79",FN_WrongCWE
cleaned_BenchmarkTest00022.sarif,00022,False,328,True,20,FP
cleaned_BenchmarkTest00023.sarif,00023,True,330,True,"20, 330, 501",TP
cleaned_BenchmarkTest00024.sarif,00024,True,89,True,"20, 89",TP
cleaned_BenchmarkTest00025.sarif,00025,True,89,True,"20, 79, 89",TP
cleaned_BenchmarkTest00026.sarif,00026,True,89,True,"20, 89",TP
cleaned_BenchmarkTest00027.sarif,00027,True,89,True,"20, 89",TP
cleaned_BenchmarkTest00028.sarif,00028,True,22,True,"20, 22",TP
cleaned_BenchmarkTest00029.sarif,00029,True,328,True,20,FN_WrongCWE
cleaned_BenchmarkTest00030.sarif,00030,True,79,True,20,FN_WrongCWE
cleaned_BenchmarkTest00031.sarif,00031,True,501,True,"20, 501",TP
cleaned_BenchmarkTest00032.sarif,00032,True,89,True,"20, 89",TP
cleaned_BenchmarkTest00033.sarif,00033,True,89,True,"20, 89",TP
cleaned_BenchmarkTest00034.sarif,00034,True,89,True,"20, 89",TP
cleaned_BenchmarkTest00035.sarif,00035,True,327,True,"20, 326, 327",TP
cleaned_BenchmarkTest00036.sarif,00036,True,79,True,"20, 79",TP
cleaned_BenchmarkTest00037.sarif,00037,True,89,True,"20, 89",TP
cleaned_BenchmarkTest00038.sarif,00038,True,89,True,"20, 89",TP
cleaned_BenchmarkTest00039.sarif,00039,True,89,True,"20, 89",TP
cleaned_BenchmarkTest00040.sarif,00040,True,22,True,22,TP
cleaned_BenchmarkTest00041.sarif,00041,True,79,False,,FN_Missed
cleaned_BenchmarkTest00042.sarif,00042,False,330,True,501,FP
cleaned_BenchmarkTest00043.sarif,00043,True,89,True,89,TP
cleaned_BenchmarkTest00044.sarif,00044,True,90,True,"20, 79",FN_WrongCWE
cleaned_BenchmarkTest00045.sarif,00045,True,22,True,"20, 22",TP
cleaned_BenchmarkTest00046.sarif,00046,True,328,True,"20, 327",FN_WrongCWE
cleaned_BenchmarkTest00047.sarif,00047,True,79,True,"20, 79",TP
cleaned_BenchmarkTest00048.sarif,00048,True,79,True,"20, 79",TP
cleaned_BenchmarkTest00049.sarif,00049,True,79,True,"20, 79",TP
cleaned_BenchmarkTest00050.sarif,00050,True,327,True,"326, 327",TP
cleaned_BenchmarkTest00051.sarif,00051,False,78,False,,TN
cleaned_BenchmarkTest00052.sarif,00052,False,89,True,89,FP
cleaned_BenchmarkTest00053.sarif,00053,True,327,True,"326, 1004",FN_WrongCWE
cleaned_BenchmarkTest00054.sarif,00054,False,327,True,1004,FP
cleaned_BenchmarkTest00055.sarif,00055,True,327,True,"326, 327, 1004",TP
cleaned_BenchmarkTest00056.sarif,00056,True,327,True,"326, 327, 1004",TP
cleaned_BenchmarkTest00057.sarif,00057,True,327,True,"326, 327, 1004",TP
cleaned_BenchmarkTest00058.sarif,00058,False,327,True,1004,FP
cleaned_BenchmarkTest00059.sarif,00059,False,327,True,"327, 1004",FP
cleaned_BenchmarkTest00060.sarif,00060,True,22,True,"22, 1004",TP
cleaned_BenchmarkTest00061.sarif,00061,True,22,True,"22, 1004",TP
cleaned_BenchmarkTest00062.sarif,00062,True,22,True,"22, 1004",TP
cleaned_BenchmarkTest00063.sarif,00063,False,22,True,"22, 1004",FP
cleaned_BenchmarkTest00064.sarif,00064,False,22,True,"22, 1004",FP
cleaned_BenchmarkTest00065.sarif,00065,True,22,True,"22, 1004",TP
cleaned_BenchmarkTest00066.sarif,00066,True,330,True,"501, 1004",FN_WrongCWE
cleaned_BenchmarkTest00067.sarif,00067,True,330,True,"501, 1004",FN_WrongCWE
cleaned_BenchmarkTest00068.sarif,00068,True,330,True,"501, 1004",FN_WrongCWE
cleaned_BenchmarkTest00069.sarif,00069,False,328,True,1004,FP
cleaned_BenchmarkTest00070.sarif,00070,True,328,True,"327, 1004",FN_WrongCWE
cleaned_BenchmarkTest00071.sarif,00071,True,328,True,"327, 1004",FN_WrongCWE
cleaned_BenchmarkTest00072.sarif,00072,False,328,True,1004,FP
cleaned_BenchmarkTest00073.sarif,00073,True,328,True,"327, 1004",FN_WrongCWE
cleaned_BenchmarkTest00074.sarif,00074,True,328,True,1004,FN_WrongCWE
cleaned_BenchmarkTest00075.sarif,00075,False,328,True,1004,FP
cleaned_BenchmarkTest00076.sarif,00076,False,328,True,1004,FP
cleaned_BenchmarkTest00077.sarif,00077,True,78,True,"78, 1004",TP
cleaned_BenchmarkTest00078.sarif,00078,True,330,True,"330, 501, 1004",TP
cleaned_BenchmarkTest00079.sarif,00079,True,330,True,"330, 501, 1004",TP
cleaned_BenchmarkTest00080.sarif,00080,True,330,True,"330, 501, 1004",TP
cleaned_BenchmarkTest00081.sarif,00081,True,330,True,"330, 501, 1004",TP
cleaned_BenchmarkTest00082.sarif,00082,True,330,True,"501, 1004",FN_WrongCWE
cleaned_BenchmarkTest00083.sarif,00083,True,330,True,"501, 1004",FN_WrongCWE
cleaned_BenchmarkTest00084.sarif,00084,True,330,True,"330, 501, 1004",TP
cleaned_BenchmarkTest00085.sarif,00085,True,330,True,"330, 501, 1004",TP
cleaned_BenchmarkTest00086.sarif,00086,True,330,True,"330, 501, 1004",TP
cleaned_BenchmarkTest00087.sarif,00087,True,614,True,"614, 1004",TP
cleaned_BenchmarkTest00088.sarif,00088,False,614,True,1004,FP
cleaned_BenchmarkTest00089.sarif,00089,False,614,True,1004,FP
cleaned_BenchmarkTest00090.sarif,00090,False,78,True,"78, 1004",FP
cleaned_BenchmarkTest00091.sarif,00091,True,78,True,"78, 1004",TP
cleaned_BenchmarkTest00092.sarif,00092,True,78,True,"78, 1004",TP
cleaned_BenchmarkTest00093.sarif,00093,False,78,True,"78, 1004",FP
cleaned_BenchmarkTest00094.sarif,00094,False,330,True,"501, 1004",FP
cleaned_BenchmarkTest00095.sarif,00095,False,330,True,"501, 1004",FP
cleaned_BenchmarkTest00096.sarif,00096,False,330,True,"501, 1004",FP
cleaned_BenchmarkTest00097.sarif,00097,False,501,True,"501, 1004",FP
cleaned_BenchmarkTest00098.sarif,00098,True,501,True,"501, 1004",TP
cleaned_BenchmarkTest00099.sarif,00099,False,501,True,"501, 1004",FP
cleaned_BenchmarkTest00100.sarif,00100,True,89,True,"89, 1004",TP
cleaned_BenchmarkTest00101.sarif,00101,True,89,True,"89, 1004",TP
cleaned_BenchmarkTest00102.sarif,00102,True,89,True,"89, 1004",TP
